profile_id,sex,age,pr_interest_keyword_cd_1,pr_interest_keyword_cd_2,pr_interest_keyword_cd_3,ch_interest_keyword_cd_1,ch_interest_keyword_cd_2,ch_interest_keyword_cd_3
3,F,5,P02,P04,P07,K01,K03,K04
5,M,5,P07,P08,P06,K05,K08,K09
7,F,9,P05,P03,,K06,K04,
12,M,6,P03,P06,P02,K09,K07,K03
16,F,12,P03,P06,P01,K01,K06,K04
19,M,3,P05,P06,P04,K01,K08,K09
20,M,7,P07,P08,P03,K07,K01,K08
22,F,4,P06,,,K01,,
24,M,5,P05,P04,P07,K09,K01,K02
26,M,7,P01,P07,P03,K02,K06,K08
27,F,7,P02,P07,P04,K03,K06,K05
30,F,2,P01,P06,P05,K01,K06,K08
31,F,6,P05,P07,,K01,K02,K06
33,F,7,P02,P04,P07,K01,K03,
35,F,7,P08,P07,P06,K01,K02,K03
55,F,8,P06,P02,P04,K04,K03,K02
56,M,11,P01,P07,P08,K05,K08,K09
59,M,7,P03,P01,P08,K02,K04,K08
62,F,5,P07,P04,P06,K06,K01,K03
63,F,9,P01,P07,P04,K03,K02,K05
66,F,7,P07,P04,,K01,K06,K04
68,M,5,P02,P05,P06,K01,K04,K08
74,M,2,P02,,,K03,,
77,F,9,P06,P07,P02,K04,,
80,F,7,P06,P08,P01,K03,K06,K05
89,F,7,P07,P08,P02,K07,K03,K04
94,F,7,P06,P03,P04,K04,K05,K09
96,M,3,P06,P07,P04,K08,K03,K01
101,F,4,P06,P07,P02,K01,K08,K02
102,M,3,P03,P06,P02,K02,K01,K04
103,F,7,P01,P06,P07,K06,K05,K03
109,M,4,P02,P03,P07,K01,K02,K05
110,M,8,P05,P04,P07,K02,K01,K08
115,M,4,P06,,,K01,,
116,F,7,P04,P07,P08,K02,K03,K05
118,F,6,P01,P06,P03,K04,K01,K02
121,M,6,P08,P02,P01,K09,K08,K02
122,M,3,P05,,,K08,,
124,F,8,P01,P03,P06,K04,K02,K07
127,M,7,P07,P03,P01,K02,K04,K08
129,M,6,P08,P02,P01,K05,K09,K01
130,F,10,P07,,,K06,,
136,F,2,P06,P03,P07,K01,K03,K02
137,F,7,P06,P08,P04,K04,K01,
139,F,9,P02,P04,P07,K01,K06,K07
144,F,2,P02,P03,P07,K01,K02,K05
150,F,6,P07,P02,,K01,K03,
152,F,6,P01,P03,P07,K06,K03,K05
156,F,4,P04,,,K01,,
165,F,7,P06,P07,P04,K01,K04,K03
170,F,8,P06,P04,P02,K05,K04,K06
172,M,7,P01,P07,P08,K01,K03,K05
176,M,3,P04,P06,P02,K02,K03,K01
179,M,5,P02,P07,P06,K01,K08,K06
181,M,5,P01,P03,P02,K06,K02,K03
182,M,8,P05,,,K08,,
187,F,2,P05,,,K01,,
192,F,5,P01,P02,P06,K01,K06,K05
193,M,9,P07,P08,P02,K05,K04,K01
195,M,6,P02,P07,P05,K08,,
198,F,8,P06,P07,P01,K02,K04,K03
201,M,4,P05,P06,P03,K09,K04,K08
207,M,4,P03,P01,P07,K08,K01,K02
209,M,6,P07,,,K08,,
211,M,8,P01,,,K03,,
214,F,6,P02,P04,P07,K01,K03,K05
220,M,8,P08,P03,P01,K04,K03,K06
228,F,9,P01,P03,P06,K04,,
229,F,3,P05,P07,P02,K01,,
