,profile_id,predicted_list
0,3,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
1,5,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
2,7,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
3,12,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
4,16,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
5,19,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
6,20,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
7,22,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
8,24,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
9,26,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
10,27,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
11,30,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
12,31,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
13,33,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
14,35,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
15,55,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
16,56,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
17,59,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
18,62,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
19,63,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
20,66,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
21,68,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
22,74,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
23,77,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
24,80,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
25,89,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
26,94,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
27,96,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
28,101,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
29,102,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
30,103,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
31,109,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
32,110,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
33,115,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
34,116,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
35,118,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
36,121,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
37,122,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
38,124,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
39,127,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
40,129,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
41,130,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
42,136,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
43,137,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
44,139,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
45,144,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
46,150,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
47,152,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
48,156,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
49,165,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
50,170,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
51,172,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
52,176,"[124, 16, 125, 241, 65, 15, 339, 38, 190, 347, 1880, 329, 19, 127, 18, 17, 0]"
